"No","Kode Kemendagri","Kabupaten","Provinsi","Ibu Kota","Kecamatan","Kecamatan/Desa"
"115.","82.04","Kabupaten Halmahera Selatan","Maluku Utara","Labuha","30","249"
"116.","82.02","Kabupaten Halmahera Tengah","Maluku Utara","Weda","10","061"
"117.","82.06","Kabupaten Halmahera Timur","Maluku Utara","Maba","10","102"
"118.","82.03","Kabupaten Halmahera Utara","Maluku Utara","Tobelo","17","196"
"119.","63.06","Kabupaten Hulu Sungai Selatan","Kalimantan Selatan","Kandangan","11","148"
"120.","63.07","Kabupaten Hulu Sungai Tengah","Kalimantan Selatan","Barabai","11","169"
"121.","63.08","Kabupaten Hulu Sungai Utara","Kalimantan Selatan","Amuntai","10","219"
"122.","12.16","Kabupaten Humbang Hasundutan","Sumatra Utara","Dolok Sanggul","10","154"
"123.","14.04","Kabupaten Indragiri Hilir","Riau","Tembilahan","20","236"
"124.","14.02","Kabupaten Indragiri Hulu","Riau","Rengat","14","194"
"125.","32.12","Kabupaten Indramayu","Jawa Barat","Indramayu","31","317"
"126.","91.27","Kabupaten Intan Jaya","Papua Tengah","Sugapa","08","097"
"127.","91.03","Kabupaten Jayapura","Papua","Sentani","19","144"
"128.","91.02","Kabupaten Jayawijaya","Papua Pegunungan","Wamena","40","332"
"129.","35.09","Kabupaten Jember","Jawa Timur","Jember","31","248"
"130.","51.01","Kabupaten Jembrana","Bali","Negara","05","051"
"131.","73.04","Kabupaten Jeneponto","Sulawesi Selatan","Jeneponto","11","113"
"132.","33.20","Kabupaten Jepara","Jawa Tengah","Jepara","16","195"
